;ObjectId;Country;ISO3;Indicator;Unit;Scale;F2030
128;4885;Comoros, Union of the;COM;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;0.946
129;4888;Comoros, Union of the;COM;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;0.946
130;4972;Congo, Dem. Rep. of the;COD;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;442.73351
131;4975;Congo, Dem. Rep. of the;COD;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;422.20944
132;4978;Congo, Dem. Rep. of the;COD;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;463.25758
133;5067;Congo, Rep. of;COG;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;26.5492286
134;5070;Congo, Rep. of;COG;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;22.3189488
135;5073;Congo, Rep. of;COG;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;30.7795084
136;5239;Costa Rica;CRI;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;9.110244323
137;5242;Costa Rica;CRI;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;9.110244323
138;5245;Costa Rica;CRI;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;9.110244323
139;5332;Côte d'Ivoire;CIV;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;37.69483862
140;5335;Côte d'Ivoire;CIV;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;35.6898472
141;5338;Côte d'Ivoire;CIV;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;39.69983004
142;5438;Croatia, Rep. of;HRV;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;15.04103817
143;5441;Croatia, Rep. of;HRV;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;15.04103817
144;5444;Croatia, Rep. of;HRV;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;15.04103817
145;5619;Cyprus;CYP;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;4.504319639
146;5622;Cyprus;CYP;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;4.504319639
147;5625;Cyprus;CYP;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;4.504319639
